ORDER,1,82,8189,pending,11/01/2023,card_5679ffe0
OLI,855,1,7
OLI,508,1,9
OLI,11,1,2
OLI,482,1,6
OLI,936,1,2
OLI,885,1,2
OLI,79,1,4
OLI,290,1,10
OLI,657,1,8
OLI,339,1,9
OLI,268,1,5
OLI,947,1,2
OLI,479,1,2
OLI,600,1,4
OLI,145,1,4
OLI,803,1,1
OLI,239,1,1
ORDER,2,294,4799,pending,11/01/2023,card_d7164e7f
OLI,615,2,8
OLI,510,2,9
OLI,599,2,3
OLI,214,2,6
OLI,773,2,4
OLI,412,2,3
OLI,6,2,6
OLI,286,2,7
OLI,23,2,8
OLI,544,2,7
OLI,746,2,3
OLI,651,2,6
OLI,404,2,6
OLI,958,2,10
OLI,419,2,7
OLI,955,2,4
OLI,902,2,8
OLI,837,2,9
OLI,496,2,3
OLI,227,2,7
OLI,558,2,7
OLI,735,2,1
ORDER,3,35,2023,pending,11/01/2023,card_9126ecc7
OLI,412,3,2
OLI,285,3,2
OLI,249,3,10
OLI,882,3,4
OLI,87,3,6
OLI,476,3,6
OLI,977,3,6
OLI,934,3,1
OLI,815,3,2
OLI,156,3,2
OLI,101,3,9
OLI,309,3,8
OLI,192,3,4
OLI,680,3,8
OLI,307,3,1
OLI,29,3,5
OLI,367,3,6
OLI,265,3,2
ORDER,4,733,1161,pending,11/01/2023,card_3b8123c6
OLI,753,4,2
OLI,253,4,7
OLI,782,4,9
OLI,384,4,8
OLI,974,4,4
OLI,840,4,9
OLI,180,4,3
OLI,784,4,5
OLI,700,4,1
OLI,521,4,9
OLI,347,4,9
OLI,915,4,7
OLI,335,4,9
OLI,691,4,9
OLI,642,4,2
OLI,551,4,9
OLI,573,4,10
OLI,145,4,3
OLI,529,4,4
OLI,356,4,8
ORDER,5,765,996,pending,11/01/2023,card_2e371850
OLI,551,5,8
OLI,137,5,1
OLI,284,5,9
OLI,70,5,8
OLI,447,5,10
OLI,616,5,2
OLI,526,5,7
OLI,192,5,4
OLI,357,5,5
OLI,49,5,4
OLI,700,5,7
OLI,13,5,8
OLI,995,5,4
OLI,508,5,8
OLI,609,5,5
OLI,57,5,2
OLI,830,5,1
ORDER,6,702,4190,pending,11/01/2023,card_d1a5d90b
OLI,905,6,1
OLI,930,6,5
OLI,467,6,8
OLI,256,6,6
OLI,232,6,4
OLI,500,6,5
OLI,646,6,3
OLI,290,6,5
OLI,894,6,9
OLI,525,6,1
OLI,254,6,7
OLI,529,6,9
OLI,138,6,3
OLI,801,6,4
OLI,666,6,2
OLI,439,6,9
OLI,429,6,9
OLI,367,6,4
ORDER,7,557,9278,pending,11/01/2023,card_baf8350e
OLI,820,7,4
OLI,231,7,1
OLI,354,7,3
OLI,308,7,1
OLI,620,7,8
OLI,598,7,8
OLI,806,7,7
OLI,151,7,10
OLI,778,7,2
OLI,267,7,6
OLI,710,7,2
OLI,136,7,1
OLI,357,7,3
OLI,348,7,3
OLI,614,7,2
OLI,416,7,8
OLI,603,7,2
OLI,591,7,4
OLI,701,7,6
ORDER,8,432,2571,pending,11/01/2023,card_a0c13317
OLI,460,8,8
OLI,570,8,9
OLI,860,8,7
OLI,199,8,8
OLI,129,8,7
OLI,890,8,3
OLI,540,8,8
OLI,423,8,10
OLI,240,8,8
OLI,295,8,6
OLI,588,8,1
OLI,766,8,9
OLI,62,8,9
OLI,206,8,2
OLI,434,8,2
OLI,772,8,5
OLI,797,8,10
ORDER,9,718,8009,pending,11/01/2023,card_981c0262
OLI,13,9,10
OLI,181,9,10
OLI,487,9,1
OLI,194,9,2
OLI,152,9,6
OLI,918,9,2
OLI,544,9,8
OLI,446,9,4
OLI,944,9,9
OLI,62,9,5
OLI,218,9,3
OLI,978,9,8
OLI,904,9,2
OLI,555,9,9
OLI,631,9,9
OLI,591,9,8
ORDER,10,729,954,pending,11/01/2023,card_7e11e1f1
OLI,892,10,5
OLI,860,10,6
OLI,766,10,2
OLI,868,10,7
OLI,872,10,1
OLI,423,10,4
OLI,924,10,5
OLI,19,10,1
OLI,633,10,8
OLI,852,10,4
OLI,335,10,10
OLI,303,10,10
OLI,419,10,9
OLI,944,10,10
OLI,993,10,6
ORDER,11,910,8762,pending,11/01/2023,card_c734ef0e
OLI,987,11,5
OLI,20,11,7
OLI,143,11,9
OLI,516,11,3
OLI,718,11,2
OLI,194,11,5
OLI,255,11,1
OLI,192,11,10
OLI,690,11,2
OLI,481,11,4
OLI,67,11,7
OLI,104,11,8
OLI,240,11,8
OLI,753,11,10
OLI,487,11,5
OLI,350,11,9
OLI,985,11,7
OLI,375,11,1
OLI,117,11,6
OLI,706,11,9
OLI,982,11,10
OLI,722,11,5
OLI,796,11,7
ORDER,12,350,3507,pending,11/01/2023,card_42e60f60
OLI,67,12,3
OLI,929,12,9
OLI,886,12,7
OLI,718,12,2
OLI,295,12,7
OLI,256,12,9
OLI,182,12,9
OLI,261,12,1
OLI,818,12,5
OLI,27,12,6
OLI,99,12,8
OLI,419,12,6
OLI,646,12,9
OLI,902,12,5
OLI,131,12,3
OLI,382,12,10
ORDER,13,496,8204,pending,11/01/2023,card_cb837fda
OLI,714,13,3
OLI,171,13,10
OLI,728,13,8
OLI,114,13,5
OLI,548,13,2
OLI,272,13,9
OLI,903,13,2
OLI,802,13,4
OLI,408,13,3
OLI,556,13,3
OLI,541,13,2
OLI,37,13,9
OLI,760,13,1
OLI,238,13,8
OLI,217,13,3
OLI,56,13,9
OLI,222,13,8
OLI,687,13,7
OLI,840,13,1
OLI,820,13,10
OLI,158,13,4
OLI,934,13,3
OLI,776,13,10
ORDER,14,666,9075,pending,11/01/2023,card_32fc182b
OLI,883,14,5
OLI,148,14,1
OLI,174,14,8
OLI,233,14,5
OLI,951,14,9
OLI,112,14,7
OLI,475,14,5
OLI,776,14,2
OLI,332,14,3
OLI,35,14,6
